ID,Permalink,Text,Date,Retweets,Favorites
957925406375542784,https://twitter.com/Tasnimnews_Fa/status/957925406375542784,در کنار عدم مدیریت #شهرداری_تهران در برف روبی خیابان ها و درختان، جمع آوری زباله هم به آن اضافه شد #نجفی #ناتوانpic.twitter.com/8j5FBnBTIN,2018-01-29,4,32
957917139322703873,https://twitter.com/Tasnimnews_Fa/status/957917139322703873,#امدادرسانی #سپاه رودبار به در راه‌ماندگان برف #گیلان به روایت تصویر/ #پاسداران سپاه ناحیه شهرستان رودبار استان گیلان به کمک در راه ماندگان و #مسافران شتافتند http://tn.ai/1641590 pic.twitter.com/jMVpOEzbws,2018-01-29,2,17
957912978166304770,https://twitter.com/Tasnimnews_Fa/status/957912978166304770,حجت الاسلام والمسلمین #رئیسی با خانواده شهید سید مصطفی بدرالدین از فرماندهان ارشد #حزب_الله #لبنان دیدار کرد و خانواده این رزمنده لبنانی لباس شهید بدرالدین را به وی اهدا کردندpic.twitter.com/SqJdIns8RW,2018-01-29,7,62
957903462137778176,https://twitter.com/Tasnimnews_Fa/status/957903462137778176,#تهران از فراز #برج_میلادpic.twitter.com/6208efYWX0,2018-01-29,3,21
957903335088156672,https://twitter.com/Tasnimnews_Fa/status/957903335088156672,توقف #قطار مشهد - تهران بعلت نقص فنی در #نقاب/ یکی از مسافران: الان به مدت سه ساعت هست در ایستگاه نقاب متوقف شده و مسئولان هیچ جواب قانع کننده ای ندارند! #ناتوانpic.twitter.com/WaIXpsewgh,2018-01-29,1,16
957891330209910784,https://twitter.com/Tasnimnews_Fa/status/957891330209910784,اینجا شهرک واوان در #اسلامشهر و چندکیلومتری #پایتخت/ بعد از ۲روز از #برف سنگین، هیچ خبری از #شن‌پاشی و برف‌روبی کوچه‌ها و خیابانها نیست! #ناتوانpic.twitter.com/pTdT8w6UOX,2018-01-29,5,26
957878943884988416,https://twitter.com/Tasnimnews_Fa/status/957878943884988416,تصویر روز/ حرم #امام_رضا (علیه السلام)pic.twitter.com/7e5TQXPSbx,2018-01-29,4,30
957869109173280768,https://twitter.com/Tasnimnews_Fa/status/957869109173280768,در حالی مدیرعامل شرکت عمران پردیس چند روز پیش از عدم تامین اعتبار مصوب پروژه‌های مسکن مهر خبر داده و آنرا مانعی برای تکمیل واحدهای این طرح عنوان کرد که خبر می‌رسد سازمان امور مالیاتی ۲ میلیارد تومان از حساب متقاضیان #مسکن_مهر برداشت کرده است http://tn.ai/1641003 pic.twitter.com/6dBqKbrkdb,2018-01-29,2,17
957868179333812224,https://twitter.com/Tasnimnews_Fa/status/957868179333812224,سانحه #رانندگی #مهدی_قائدی را به «آی سی یو» کشاند/هافبک - مهاجم جوان #استقلال که برای کارهای مربوط به دانشگاهش به بوشهر رفته بود شب گذشته در حادثه رانندگی مصدوم و روانه بیمارستان خلیج فارس شد http://tn.ai/1641236 pic.twitter.com/dBWAX0WmHA,2018-01-29,1,24
957866820723240960,https://twitter.com/Tasnimnews_Fa/status/957866820723240960,کنایه های داغ #رشیدپور به عملکرد یخ زده مسئولین در #یخبندان/خروجی ۴۸ ساعت بحران #برف! در کشور چه بود؟ /از مردم میخواهیم وقتی برف میاد هول نشوند، هل بدهندpic.twitter.com/UKEO0Qq2Ft,2018-01-29,6,53
957706864380334081,https://twitter.com/Tasnimnews_Fa/status/957706864380334081,#رهبرانقلاب: زمستان و #سرما که ظاهرش سخت و خشن است، اما باطنش در واقع مایه‌ی حیات بهار است #برفpic.twitter.com/0bMPVPAsw5,2018-01-28,4,32
957705846405894145,https://twitter.com/Tasnimnews_Fa/status/957705846405894145,ازدحام شدید مسافر در #راه‌آهن_تهران/کنترل اوضاع از دست مسئولان خارج شده و مردم جایی برای نشستن ندارد http://tn.ai/1641199 pic.twitter.com/QiWbQMhsK1,2018-01-28,2,19
957705635445006336,https://twitter.com/Tasnimnews_Fa/status/957705635445006336,پذيرايی از مسافران در راه مانده، با غذاي گرم حرم مطهر #حضرت_معصومه(س) در شبستان مصلی قدسpic.twitter.com/OSkzimYcAu,2018-01-28,2,32
957705059583889409,https://twitter.com/Tasnimnews_Fa/status/957705059583889409,رئیس #سازمان_راهداری: از کسانی که در راه ماندند پوزش می خواهمpic.twitter.com/MKzpoRfkyB,2018-01-28,16,99
957704592426459139,https://twitter.com/Tasnimnews_Fa/status/957704592426459139,سخنگوی وزارت خارجه آمریکا ضمن استقبال از آزادی موقت #باقرنمازی (زندانی امنیتی) به دلیل بیماری، خواستار آزادی کامل او و پسرش و تمامی شهروندان آمریکایی بازداشت‌شده شدpic.twitter.com/h8X4ywXnmI,2018-01-28,0,12
957687362393378817,https://twitter.com/Tasnimnews_Fa/status/957687362393378817,#آخوندی وزير راه و شهرسازي:مردم اگر کار واجب ندارند وارد آزادراه تهران- قم نشوند/مردم در صورت نیاز به سفر می‌توانند از قطار استفاده کنند,2018-01-28,1,26
957686304120164355,https://twitter.com/Tasnimnews_Fa/status/957686304120164355,سردار پاکپور: درگیری با تروریست‌های #داعش پایان یافت/در این درگیری که از صبح دیروز بین رزمندگان دلاور قرارگاه نجف اشرف نیروی زمینی #سپاه با تروریست های تکفیری آغاز شده بود، ۱۶ تروریست داعش دستگیر و ۵ نفر نیز به هلاکت رسیدند.,2018-01-28,0,22
957679977817956353,https://twitter.com/Tasnimnews_Fa/status/957679977817956353,دخترها بابایی اند درد دل های دختران #شهدای_مدافع_حرم، از روزهای بودن با بابا ... http://tn.ai/1641062 pic.twitter.com/q8HZjSvYEp,2018-01-28,10,82
957661128733192194,https://twitter.com/Tasnimnews_Fa/status/957661128733192194,#لاریجانی پاسخ #نوبخت را داد/رئیس مجلس:مجلس اقدام دیوان محاسبات درباره گزارش تفریغ بودجه را تحسین می‌کند هیچ شبهه‌ای در کار دیوان محاسبات وجود ندارد/اینکه گفته‌اند در تدوین گزارش تفریغ بودجه 95 ای کاش با دولت مشورت می‌شد، این بحث دیگری است http://tn.ai/1640947 pic.twitter.com/rYg3yQ7v7N,2018-01-28,5,19
957644121530880001,https://twitter.com/Tasnimnews_Fa/status/957644121530880001,ذبیح‌الله پورشیب کاپیتان تیم ملی #کاراته ایران با شکست کاراته‌کارمصری به مدال طلای مسابقات کاراته وان پاریس دست یافت http://tn.ai/1641034 pic.twitter.com/8gjorAuWyy,2018-01-28,3,24
957625904494206976,https://twitter.com/Tasnimnews_Fa/status/957625904494206976,برهم زننده نظم و امنیت منطقه "" #بهارستان"" #اصفهان دستگیر شد/فرمانده انتظامی شهرستان اصفهان: فردی که با انجام اقدامات خرابکارنه سبب سلب آسایش و احساس امنیت شهروندان در منطقه بهارستان اصفهان شده بود هنگامی که قصد آتش زدن یک دستگاه اتوبوس شهری راداشت دستگیر شد http://tn.ai/1640491 pic.twitter.com/A99vcqKm2z,2018-01-28,4,15
957613688223162374,https://twitter.com/Tasnimnews_Fa/status/957613688223162374,محور #هراز بازگشایی شد/ #پلیس راه راهور #ناجا: محور هراز در استان مازندران و شرق تهران بازگشایی شدpic.twitter.com/d0KhvtYSM6,2018-01-28,2,12
957613303458619392,https://twitter.com/Tasnimnews_Fa/status/957613303458619392,تصویری زمستانی از آستان حرم حضرت #عبدالعظیم حسنی (علیه السلام)pic.twitter.com/reGYbfcYzB,2018-01-28,4,32
957599701590781952,https://twitter.com/Tasnimnews_Fa/status/957599701590781952,#بهشت برفی/ آغاز بارش اولین #برف زمستانی در حرم مطهر رضویpic.twitter.com/8l3F45H6qj,2018-01-28,2,24
957598036494049286,https://twitter.com/Tasnimnews_Fa/status/957598036494049286,فیلم دیده نشده از سرمربی آلمانی #استقلال در #برف سنگین امروزpic.twitter.com/VmSKUcwSt5,2018-01-28,3,15
